source_protein_name	source_domain	source_uniprot	bp_protein_name	bp_uniprot	bp_domain	PDB
Chromobox protein homolog 1	CSD_HP1beta_Cbx1	p83916	Chromobox protein homolog 1	p83916	NA	3q6s
Chromobox protein homolog 1	CSD_HP1beta_Cbx1	p83916	Shugoshin 1	q5fbb7	NA	3q6s
Chromobox protein homolog 1	NA	p83916	BRCA2-interacting transcriptional repressor EMSY	q7z589	ENT	2fmm
Chromobox protein homolog 1	NA	p83916	BRCA2-interacting transcriptional repressor EMSY	q7z589	NA	2fmm
Chromobox protein homolog 1	NA	p83916	Chromobox protein homolog 1	p83916	CD_HP1beta_Cbx1	3f2u
Chromobox protein homolog 1	NA	p83916	Chromobox protein homolog 1	p83916	CSD_HP1beta_Cbx1	2fmm
Chromobox protein homolog 1	NA	p83916	Chromobox protein homolog 1	p83916	CSD_HP1beta_Cbx1	3q6s
Chromobox protein homolog 1	NA	p83916	Chromobox protein homolog 1	p83916	NA	2fmm
Chromobox protein homolog 1	NA	p83916	Chromobox protein homolog 1	p83916	NA	3f2u
Chromobox protein homolog 1	NA	p83916	Chromobox protein homolog 1	p83916	NA	3q6s
Chromobox protein homolog 1	NA	p83916	Shugoshin 1	q5fbb7	NA	3q6s
Chromobox protein homolog 3	CD_HP1gamma_Cbx3	q13185	Chromobox protein homolog 3	q13185	CSD_HP1gamma_Cbx3	3kup
Chromobox protein homolog 3	CD_HP1gamma_Cbx3	q13185	Chromobox protein homolog 3	q13185	NA	6hw2
Chromobox protein homolog 3	CD_HP1gamma_Cbx3	q13185	Histone-lysine N-methyltransferase EHMT2	q96kq7	NA	3dm1
Chromobox protein homolog 3	CD_HP1gamma_Cbx3	q13185	Voltage-dependent L-type calcium channel subunit beta-4	d4a055	NA	6hw2
Chromobox protein homolog 3	CSD_HP1gamma_Cbx3	q13185	Chromobox protein homolog 3	q13185	CSD_HP1gamma_Cbx3	3kup
Chromobox protein homolog 3	CSD_HP1gamma_Cbx3	q13185	Chromobox protein homolog 3	q13185	NA	6hw2
Chromobox protein homolog 3	CSD_HP1gamma_Cbx3	q13185	Histone-lysine N-methyltransferase EHMT2	q96kq7	NA	3dm1
Chromobox protein homolog 3	CSD_HP1gamma_Cbx3	q13185	Voltage-dependent L-type calcium channel subunit beta-4	d4a055	NA	6hw2
Chromobox protein homolog 3	NA	q13185	Chromobox protein homolog 3	q13185	CSD_HP1gamma_Cbx3	3kup
Chromobox protein homolog 3	NA	q13185	Chromobox protein homolog 3	q13185	NA	6hw2
Chromobox protein homolog 3	NA	q13185	Histone-lysine N-methyltransferase EHMT2	q96kq7	NA	3dm1
Chromobox protein homolog 3	NA	q13185	Voltage-dependent L-type calcium channel subunit beta-4	d4a055	NA	6hw2
Chromodomain Y-like protein 2	NA	q8n8u2	Chromodomain Y-like protein 2	q8n8u2	CD_CDY	4hae
Chromodomain Y-like protein 2	NA	q8n8u2	Chromodomain Y-like protein 2	q8n8u2	NA	4hae
Chromodomain Y-like protein 2	NA	q8n8u2	Chromodomain Y-like protein 2	q8n8u2	NA	6v8w
Chromodomain Y-like protein 2	NA	q8n8u2	IVA-PHE-ALA-PHE-5T3-SER-NH2		NA	6v8w
Chromodomain Y-like protein 2	NA	q8n8u2	UNC3866		NA	6v2d
Chromodomain-helicase-DNA-binding protein 1	CD1_tandem_CHD1-2_like	o14646	Chromodomain-helicase-DNA-binding protein 1	o14646	CD1_tandem_CHD1-2_like	2b2y
Chromodomain-helicase-DNA-binding protein 1	CD1_tandem_CHD1-2_like	o14646	Chromodomain-helicase-DNA-binding protein 1	o14646	CD2_tandem_CHD1-2_like	2b2y
Chromodomain-helicase-DNA-binding protein 1	CD1_tandem_CHD1-2_like	o14646	Chromodomain-helicase-DNA-binding protein 1	o14646	NA	2b2y
Chromodomain-helicase-DNA-binding protein 1	CD1_tandem_CHD1-2_like	o14646	Chromodomain-helicase-DNA-binding protein 1	o14646	NA	4b4c
Chromodomain-helicase-DNA-binding protein 1	CD1_tandem_CHD1-2_like	o14646	Lysine-specific histone demethylase 1A	o60341	NA	5afw
Chromodomain-helicase-DNA-binding protein 1	CD1_tandem_CHD1-2_like	o14646	Non-structural protein 1	p03495	NA	4nw2
Chromodomain-helicase-DNA-binding protein 1	CD1_tandem_CHD1-2_like	o14646	Non-structural protein 1	q38sq2	NA	4o42
Chromodomain-helicase-DNA-binding protein 1	CD2_tandem_CHD1-2_like	o14646	Chromodomain-helicase-DNA-binding protein 1	o14646	CD1_tandem_CHD1-2_like	2b2y
Chromodomain-helicase-DNA-binding protein 1	CD2_tandem_CHD1-2_like	o14646	Chromodomain-helicase-DNA-binding protein 1	o14646	CD2_tandem_CHD1-2_like	2b2y
Chromodomain-helicase-DNA-binding protein 1	CD2_tandem_CHD1-2_like	o14646	Chromodomain-helicase-DNA-binding protein 1	o14646	NA	2b2y
Chromodomain-helicase-DNA-binding protein 1	CD2_tandem_CHD1-2_like	o14646	Chromodomain-helicase-DNA-binding protein 1	o14646	NA	4b4c
Chromodomain-helicase-DNA-binding protein 1	CD2_tandem_CHD1-2_like	o14646	Lysine-specific histone demethylase 1A	o60341	NA	5afw
Chromodomain-helicase-DNA-binding protein 1	CD2_tandem_CHD1-2_like	o14646	Non-structural protein 1	p03495	NA	4nw2
Chromodomain-helicase-DNA-binding protein 1	CD2_tandem_CHD1-2_like	o14646	Non-structural protein 1	q38sq2	NA	4o42
Chromodomain-helicase-DNA-binding protein 4	NA	q14839	Bromodomain-containing protein 3	q15059	BET	6bgg
Chromodomain-helicase-DNA-binding protein 4	PHD2_CHD_II	q14839	Bromodomain-containing protein 3	q15059	BET	6bgg
DNA (cytosine-5)-methyltransferase 1	DNMT1-RFD	p26358	Polyubiquitin-B	p0cg47	Ubl_ubiquitin	5ydr
DNA (cytosine-5)-methyltransferase 1	DNMT1-RFD	p26358	Proliferating cell nuclear antigen	p12004	NA	6k3a
DNA (cytosine-5)-methyltransferase 1	DNMT1-RFD	p26358	Ubiquitin carboxyl-terminal hydrolase 7	q93009	NA	4yoc
DNA (cytosine-5)-methyltransferase 1	DNMT1-RFD	p26358	Ubiquitin carboxyl-terminal hydrolase 7	q93009	USP7_C2	4yoc
DNA (cytosine-5)-methyltransferase 1	DNMT1-RFD	p26358	Ubiquitin carboxyl-terminal hydrolase 7	q93009	USP7_ICP0_bdg	4yoc
DNA (cytosine-5)-methyltransferase 1	DNMT1-RFD	p26358	Ubiquitin carboxyl-terminal hydrolase 7	q93009	USP7_ICP0_bdg	4z96
DNA (cytosine-5)-methyltransferase 1	DNMT1-RFD	p26358	Ubiquitin carboxyl-terminal hydrolase 7	q93009	USP7_ICP0_bdg	4z97
DNA (cytosine-5)-methyltransferase 1	NA	p26358	Polyubiquitin-B	p0cg47	Ubl_ubiquitin	5ydr
DNA (cytosine-5)-methyltransferase 1	NA	p26358	Proliferating cell nuclear antigen	p12004	NA	6k3a
DNA (cytosine-5)-methyltransferase 1	NA	p26358	Ubiquitin carboxyl-terminal hydrolase 7	q93009	NA	4yoc
DNA (cytosine-5)-methyltransferase 1	NA	p26358	Ubiquitin carboxyl-terminal hydrolase 7	q93009	USP7_C2	4yoc
DNA (cytosine-5)-methyltransferase 1	NA	p26358	Ubiquitin carboxyl-terminal hydrolase 7	q93009	USP7_ICP0_bdg	4yoc
DNA (cytosine-5)-methyltransferase 1	NA	p26358	Ubiquitin carboxyl-terminal hydrolase 7	q93009	USP7_ICP0_bdg	4z96
DNA (cytosine-5)-methyltransferase 1	NA	p26358	Ubiquitin carboxyl-terminal hydrolase 7	q93009	USP7_ICP0_bdg	4z97
DNA (cytosine-5)-methyltransferase 3A	ADDz_Dnmt3a	q9y6k1	DNA (cytosine-5)-methyltransferase 3-like	q9ujw3	NA	2qrv
DNA (cytosine-5)-methyltransferase 3A	ADDz_Dnmt3a	q9y6k1	DNA (cytosine-5)-methyltransferase 3-like	q9ujw3	NA	4u7p
DNA (cytosine-5)-methyltransferase 3A	ADDz_Dnmt3a	q9y6k1	DNA (cytosine-5)-methyltransferase 3-like	q9ujw3	NA	5yx2
DNA (cytosine-5)-methyltransferase 3A	ADDz_Dnmt3a	q9y6k1	DNA (cytosine-5)-methyltransferase 3-like	q9ujw3	NA	6brr
DNA (cytosine-5)-methyltransferase 3A	ADDz_Dnmt3a	q9y6k1	DNA (cytosine-5)-methyltransferase 3-like	q9ujw3	NA	6f57
DNA (cytosine-5)-methyltransferase 3A	ADDz_Dnmt3a	q9y6k1	DNA (cytosine-5)-methyltransferase 3-like	q9ujw3	NA	6w89
DNA (cytosine-5)-methyltransferase 3A	ADDz_Dnmt3a	q9y6k1	DNA (cytosine-5)-methyltransferase 3-like	q9ujw3	NA	6w8b
DNA (cytosine-5)-methyltransferase 3A	ADDz_Dnmt3a	q9y6k1	DNA (cytosine-5)-methyltransferase 3-like	q9ujw3	NA	6w8d
DNA (cytosine-5)-methyltransferase 3A	ADDz_Dnmt3a	q9y6k1	DNA (cytosine-5)-methyltransferase 3-like	q9ujw3	NA	6w8j
DNA (cytosine-5)-methyltransferase 3A	ADDz_Dnmt3a	q9y6k1	DNA (cytosine-5)-methyltransferase 3A	q9y6k1	Dcm	2qrv
DNA (cytosine-5)-methyltransferase 3A	ADDz_Dnmt3a	q9y6k1	DNA (cytosine-5)-methyltransferase 3A	q9y6k1	Dcm	5yx2
DNA (cytosine-5)-methyltransferase 3A	ADDz_Dnmt3a	q9y6k1	DNA (cytosine-5)-methyltransferase 3A	q9y6k1	Dcm	6brr
DNA (cytosine-5)-methyltransferase 3A	ADDz_Dnmt3a	q9y6k1	DNA (cytosine-5)-methyltransferase 3A	q9y6k1	NA	2qrv
DNA (cytosine-5)-methyltransferase 3A	ADDz_Dnmt3a	q9y6k1	DNA (cytosine-5)-methyltransferase 3A	q9y6k1	NA	5yx2
DNA (cytosine-5)-methyltransferase 3A	ADDz_Dnmt3a	q9y6k1	DNA (cytosine-5)-methyltransferase 3A	q9y6k1	NA	6brr
DNA (cytosine-5)-methyltransferase 3A	ADDz_Dnmt3a	q9y6k1	DNA (cytosine-5)-methyltransferase 3A	q9y6k1	NA	6w89
DNA (cytosine-5)-methyltransferase 3A	ADDz_Dnmt3a	q9y6k1	DNA (cytosine-5)-methyltransferase 3A	q9y6k1	NA	6w8b
DNA (cytosine-5)-methyltransferase 3A	ADDz_Dnmt3a	q9y6k1	DNA (cytosine-5)-methyltransferase 3A	q9y6k1	NA	6w8d
DNA (cytosine-5)-methyltransferase 3A	ADDz_Dnmt3a	q9y6k1	DNA (cytosine-5)-methyltransferase 3A	q9y6k1	NA	6w8j
DNA (cytosine-5)-methyltransferase 3A	ADDz_Dnmt3a	q9y6k1	M-phase phosphoprotein 8	q99549	CD_MMP8	3svm
DNA (cytosine-5)-methyltransferase 3A	ADDz_Dnmt3a	q9y6k1	M-phase phosphoprotein 8	q99549	NA	3svm
DNA (cytosine-5)-methyltransferase 3A	NA	q9y6k1	DNA (cytosine-5)-methyltransferase 3-like	q9ujw3	NA	2qrv
DNA (cytosine-5)-methyltransferase 3A	NA	q9y6k1	DNA (cytosine-5)-methyltransferase 3-like	q9ujw3	NA	4u7p
DNA (cytosine-5)-methyltransferase 3A	NA	q9y6k1	DNA (cytosine-5)-methyltransferase 3-like	q9ujw3	NA	5yx2
DNA (cytosine-5)-methyltransferase 3A	NA	q9y6k1	DNA (cytosine-5)-methyltransferase 3-like	q9ujw3	NA	6brr
DNA (cytosine-5)-methyltransferase 3A	NA	q9y6k1	DNA (cytosine-5)-methyltransferase 3-like	q9ujw3	NA	6f57
DNA (cytosine-5)-methyltransferase 3A	NA	q9y6k1	DNA (cytosine-5)-methyltransferase 3-like	q9ujw3	NA	6w89
DNA (cytosine-5)-methyltransferase 3A	NA	q9y6k1	DNA (cytosine-5)-methyltransferase 3-like	q9ujw3	NA	6w8b
DNA (cytosine-5)-methyltransferase 3A	NA	q9y6k1	DNA (cytosine-5)-methyltransferase 3-like	q9ujw3	NA	6w8d
DNA (cytosine-5)-methyltransferase 3A	NA	q9y6k1	DNA (cytosine-5)-methyltransferase 3-like	q9ujw3	NA	6w8j
DNA (cytosine-5)-methyltransferase 3A	NA	q9y6k1	DNA (cytosine-5)-methyltransferase 3A	q9y6k1	Dcm	2qrv
DNA (cytosine-5)-methyltransferase 3A	NA	q9y6k1	DNA (cytosine-5)-methyltransferase 3A	q9y6k1	Dcm	5yx2
DNA (cytosine-5)-methyltransferase 3A	NA	q9y6k1	DNA (cytosine-5)-methyltransferase 3A	q9y6k1	Dcm	6brr
DNA (cytosine-5)-methyltransferase 3A	NA	q9y6k1	DNA (cytosine-5)-methyltransferase 3A	q9y6k1	NA	2qrv
DNA (cytosine-5)-methyltransferase 3A	NA	q9y6k1	DNA (cytosine-5)-methyltransferase 3A	q9y6k1	NA	5yx2
DNA (cytosine-5)-methyltransferase 3A	NA	q9y6k1	DNA (cytosine-5)-methyltransferase 3A	q9y6k1	NA	6brr
DNA (cytosine-5)-methyltransferase 3A	NA	q9y6k1	DNA (cytosine-5)-methyltransferase 3A	q9y6k1	NA	6w89
DNA (cytosine-5)-methyltransferase 3A	NA	q9y6k1	DNA (cytosine-5)-methyltransferase 3A	q9y6k1	NA	6w8b
DNA (cytosine-5)-methyltransferase 3A	NA	q9y6k1	DNA (cytosine-5)-methyltransferase 3A	q9y6k1	NA	6w8d
DNA (cytosine-5)-methyltransferase 3A	NA	q9y6k1	DNA (cytosine-5)-methyltransferase 3A	q9y6k1	NA	6w8j
DNA (cytosine-5)-methyltransferase 3A	NA	q9y6k1	M-phase phosphoprotein 8	q99549	CD_MMP8	3svm
DNA (cytosine-5)-methyltransferase 3A	NA	q9y6k1	M-phase phosphoprotein 8	q99549	NA	3svm
DNA (cytosine-5)-methyltransferase 3B	Dnmt3b_related	q9ubc3	DNA (cytosine-5)-methyltransferase 3-like	q9ujw3	NA	6kda
DNA (cytosine-5)-methyltransferase 3B	Dnmt3b_related	q9ubc3	DNA (cytosine-5)-methyltransferase 3-like	q9ujw3	NA	6kdb
DNA (cytosine-5)-methyltransferase 3B	Dnmt3b_related	q9ubc3	DNA (cytosine-5)-methyltransferase 3-like	q9ujw3	NA	6kdl
DNA (cytosine-5)-methyltransferase 3B	Dnmt3b_related	q9ubc3	DNA (cytosine-5)-methyltransferase 3-like	q9ujw3	NA	6kdp
DNA (cytosine-5)-methyltransferase 3B	Dnmt3b_related	q9ubc3	DNA (cytosine-5)-methyltransferase 3-like	q9ujw3	NA	6kdt
DNA (cytosine-5)-methyltransferase 3B	Dnmt3b_related	q9ubc3	DNA (cytosine-5)-methyltransferase 3-like	q9ujw3	NA	6u8p
DNA (cytosine-5)-methyltransferase 3B	Dnmt3b_related	q9ubc3	DNA (cytosine-5)-methyltransferase 3-like	q9ujw3	NA	6u8v
DNA (cytosine-5)-methyltransferase 3B	Dnmt3b_related	q9ubc3	DNA (cytosine-5)-methyltransferase 3-like	q9ujw3	NA	6u8w
DNA (cytosine-5)-methyltransferase 3B	Dnmt3b_related	q9ubc3	DNA (cytosine-5)-methyltransferase 3-like	q9ujw3	NA	6u8x
DNA (cytosine-5)-methyltransferase 3B	Dnmt3b_related	q9ubc3	DNA (cytosine-5)-methyltransferase 3-like	q9ujw3	NA	6u90
DNA (cytosine-5)-methyltransferase 3B	Dnmt3b_related	q9ubc3	DNA (cytosine-5)-methyltransferase 3-like	q9ujw3	NA	6u91
DNA (cytosine-5)-methyltransferase 3B	Dnmt3b_related	q9ubc3	DNA (cytosine-5)-methyltransferase 3B	q9ubc3	Dnmt3b_related	5nrr
DNA (cytosine-5)-methyltransferase 3B	Dnmt3b_related	q9ubc3	DNA (cytosine-5)-methyltransferase 3B	q9ubc3	Dnmt3b_related	5nrs
DNA (cytosine-5)-methyltransferase 3B	Dnmt3b_related	q9ubc3	DNA (cytosine-5)-methyltransferase 3B	q9ubc3	Dnmt3b_related	5nrv
DNA (cytosine-5)-methyltransferase 3B	Dnmt3b_related	q9ubc3	DNA (cytosine-5)-methyltransferase 3B	q9ubc3	Dnmt3b_related	5nv0
DNA (cytosine-5)-methyltransferase 3B	Dnmt3b_related	q9ubc3	DNA (cytosine-5)-methyltransferase 3B	q9ubc3	Dnmt3b_related	5nv2
DNA (cytosine-5)-methyltransferase 3B	Dnmt3b_related	q9ubc3	DNA (cytosine-5)-methyltransferase 3B	q9ubc3	NA	5nrr
DNA (cytosine-5)-methyltransferase 3B	Dnmt3b_related	q9ubc3	DNA (cytosine-5)-methyltransferase 3B	q9ubc3	NA	5nrs
DNA (cytosine-5)-methyltransferase 3B	Dnmt3b_related	q9ubc3	DNA (cytosine-5)-methyltransferase 3B	q9ubc3	NA	5nrv
DNA (cytosine-5)-methyltransferase 3B	Dnmt3b_related	q9ubc3	DNA (cytosine-5)-methyltransferase 3B	q9ubc3	NA	5nv0
DNA (cytosine-5)-methyltransferase 3B	Dnmt3b_related	q9ubc3	DNA (cytosine-5)-methyltransferase 3B	q9ubc3	NA	5nv2
DNA (cytosine-5)-methyltransferase 3B	Dnmt3b_related	q9ubc3	DNA (cytosine-5)-methyltransferase 3B	q9ubc3	NA	6kda
DNA (cytosine-5)-methyltransferase 3B	Dnmt3b_related	q9ubc3	DNA (cytosine-5)-methyltransferase 3B	q9ubc3	NA	6kdb
DNA (cytosine-5)-methyltransferase 3B	Dnmt3b_related	q9ubc3	DNA (cytosine-5)-methyltransferase 3B	q9ubc3	NA	6kdl
DNA (cytosine-5)-methyltransferase 3B	Dnmt3b_related	q9ubc3	DNA (cytosine-5)-methyltransferase 3B	q9ubc3	NA	6kdp
DNA (cytosine-5)-methyltransferase 3B	Dnmt3b_related	q9ubc3	DNA (cytosine-5)-methyltransferase 3B	q9ubc3	NA	6kdt
DNA (cytosine-5)-methyltransferase 3B	Dnmt3b_related	q9ubc3	DNA (cytosine-5)-methyltransferase 3B	q9ubc3	NA	6u8p
DNA (cytosine-5)-methyltransferase 3B	Dnmt3b_related	q9ubc3	DNA (cytosine-5)-methyltransferase 3B	q9ubc3	NA	6u8v
DNA (cytosine-5)-methyltransferase 3B	Dnmt3b_related	q9ubc3	DNA (cytosine-5)-methyltransferase 3B	q9ubc3	NA	6u8w
DNA (cytosine-5)-methyltransferase 3B	Dnmt3b_related	q9ubc3	DNA (cytosine-5)-methyltransferase 3B	q9ubc3	NA	6u8x
DNA (cytosine-5)-methyltransferase 3B	Dnmt3b_related	q9ubc3	DNA (cytosine-5)-methyltransferase 3B	q9ubc3	NA	6u90
DNA (cytosine-5)-methyltransferase 3B	Dnmt3b_related	q9ubc3	DNA (cytosine-5)-methyltransferase 3B	q9ubc3	NA	6u91
DNA damage-binding protein 2	NA	q92466	DNA damage-binding protein 1	q16531	CPSF_A	3ei4
DNA damage-binding protein 2	NA	q92466	DNA damage-binding protein 1	q16531	CPSF_A	3i7l
DNA damage-binding protein 2	NA	q92466	DNA damage-binding protein 1	q16531	CPSF_A	4e54
DNA damage-binding protein 2	NA	q92466	DNA damage-binding protein 1	q16531	CPSF_A	4e5z
DNA damage-binding protein 2	NA	q92466	DNA damage-binding protein 1	q16531	MMS1_N	3ei4
DNA damage-binding protein 2	NA	q92466	DNA damage-binding protein 1	q16531	MMS1_N	3i7l
DNA damage-binding protein 2	NA	q92466	DNA damage-binding protein 1	q16531	MMS1_N	4e54
DNA damage-binding protein 2	NA	q92466	DNA damage-binding protein 1	q16531	MMS1_N	4e5z
DNA damage-binding protein 2	NA	q92466	DNA damage-binding protein 1	q16531	NA	3ei4
DNA damage-binding protein 2	NA	q92466	DNA damage-binding protein 1	q16531	NA	3i7l
DNA damage-binding protein 2	NA	q92466	DNA damage-binding protein 1	q16531	NA	4e54
DNA damage-binding protein 2	NA	q92466	DNA damage-binding protein 1	q16531	NA	4e5z
DNA replication licensing factor MCM2	NA	p49736	Cell division control protein 45 homolog	o75419	NA	6xtx
DNA replication licensing factor MCM2	NA	p49736	Cell division control protein 45 homolog	o75419	NA	6xty
DNA replication licensing factor MCM2	NA	p49736	Cell division cycle 7-related protein kinase	o00311	NA	6ya7
DNA replication licensing factor MCM2	NA	p49736	DNA replication licensing factor MCM3	p25205	NA	6xtx
DNA replication licensing factor MCM2	NA	p49736	DNA replication licensing factor MCM3	p25205	NA	6xty
DNA replication licensing factor MCM2	NA	p49736	DNA replication licensing factor MCM5	p33992	NA	6xtx
DNA replication licensing factor MCM2	NA	p49736	DNA replication licensing factor MCM5	p33992	NA	6xty
DNA replication licensing factor MCM2	NA	p49736	DNA replication licensing factor MCM6	q14566	NA	6xtx
DNA replication licensing factor MCM2	NA	p49736	DNA replication licensing factor MCM6	q14566	NA	6xty
DNA replication licensing factor MCM2	NA	p49736	Protein DBF4 homolog A	q9ubu7	NA	6ya7
DNA-directed RNA polymerase subunit	RNAP_II_RPB1_N	c4r4y0	DNA-directed RNA polymerase subunit	c4qy79	RPB9	5xon
DNA-directed RNA polymerase subunit	RNAP_II_RPB1_N	c4r4y0	DNA-directed RNA polymerase subunit	f2qpe6	NA	5x4z
DNA-directed RNA polymerase subunit	RNAP_II_RPB1_N	c4r4y0	DNA-directed RNA polymerase subunit	f2qpe6	NA	5x50
DNA-directed RNA polymerase subunit	RNAP_II_RPB1_N	c4r4y0	DNA-directed RNA polymerase subunit	f2qpe6	NA	5x51
DNA-directed RNA polymerase subunit	RNAP_II_RPB1_N	c4r4y0	DNA-directed RNA polymerase subunit	f2qpe6	RPB9	5x4z
DNA-directed RNA polymerase subunit	RNAP_II_RPB1_N	c4r4y0	DNA-directed RNA polymerase subunit	f2qpe6	RPB9	5x50
DNA-directed RNA polymerase subunit	RNAP_II_RPB1_N	c4r4y0	DNA-directed RNA polymerase subunit	f2qpe6	RPB9	5x51
DNA-directed RNA polymerase subunit	RNAP_II_RPB1_N	c4r4y0	DNA-directed RNA polymerase subunit	f2qpe6	RPB9	5xog
DNA-directed RNA polymerase subunit	RNAP_II_RPB1_N	c4r4y0	DNA-directed RNA polymerase subunit beta	c4qzq7	NA	5x4z
DNA-directed RNA polymerase subunit	RNAP_II_RPB1_N	c4r4y0	DNA-directed RNA polymerase subunit beta	c4qzq7	NA	5x50
DNA-directed RNA polymerase subunit	RNAP_II_RPB1_N	c4r4y0	DNA-directed RNA polymerase subunit beta	c4qzq7	NA	5x51
DNA-directed RNA polymerase subunit	RNAP_II_RPB1_N	c4r4y0	DNA-directed RNA polymerase subunit beta	c4qzq7	NA	5xog
DNA-directed RNA polymerase subunit	RNAP_II_RPB1_N	c4r4y0	DNA-directed RNA polymerase subunit beta	c4qzq7	NA	5xon
DNA-directed RNA polymerase subunit	RNAP_II_RPB1_N	c4r4y0	DNA-directed RNA polymerases I, II, and III subunit RPABC3	c4r273	RNA_pol_Rpb8	5x4z
DNA-directed RNA polymerase subunit	RNAP_II_RPB1_N	c4r4y0	DNA-directed RNA polymerases I, II, and III subunit RPABC3	c4r273	RNA_pol_Rpb8	5x50
DNA-directed RNA polymerase subunit	RNAP_II_RPB1_N	c4r4y0	DNA-directed RNA polymerases I, II, and III subunit RPABC3	c4r273	RNA_pol_Rpb8	5x51
DNA-directed RNA polymerase subunit	RNAP_II_RPB1_N	c4r4y0	DNA-directed RNA polymerases I, II, and III subunit RPABC3	c4r273	RNA_pol_Rpb8	5xog
DNA-directed RNA polymerase subunit	RNAP_II_RPB1_N	c4r4y0	DNA-directed RNA polymerases I, II, and III subunit RPABC3	c4r273	RNA_pol_Rpb8	5xon
DNA-directed RNA polymerase subunit	RNAP_II_RPB1_N	c4r4y0	General transcription elongation factor TFIIS	c4r2r6	NA	5xon
DNA-directed RNA polymerase subunit	RNAP_II_RPB1_N	c4r4y0	Protein that forms a complex with Spt4p	c4r370	KOW_Spt5_1	5xon
DNA-directed RNA polymerase subunit	RNAP_II_RPB1_N	c4r4y0	Protein that forms a complex with Spt4p	c4r370	NA	5xon
DNA-directed RNA polymerase subunit	RNAP_II_RPB1_N	c4r4y0	Protein that forms a complex with Spt4p	c4r370	NGN_Euk	5xon
DNA-directed RNA polymerase subunit	RNAP_II_RPB1_N	c4r4y0	RNA polymerase II subunit	c4r9a1	RPB7	5x4z
DNA-directed RNA polymerase subunit	RNAP_II_RPB1_N	c4r4y0	RNA polymerase II subunit	c4r9a1	RPB7	5x50
DNA-directed RNA polymerase subunit	RNAP_II_RPB1_N	c4r4y0	RNA polymerase II subunit	c4r9a1	RPB7	5x51
DNA-directed RNA polymerase subunit	RNAP_II_RPB1_N	c4r4y0	RNA polymerase II subunit	c4r9a1	RPB7	5xog
DNA-directed RNA polymerase subunit	RNAP_II_RPB1_N	c4r4y0	RNA polymerase II subunit	c4r9a1	RPB7	5xon
DNA-directed RNA polymerase subunit	RNAP_II_RPB1_N	c4r4y0	RNA polymerase II subunit B12.5	c4r3z5	NA	5x4z
DNA-directed RNA polymerase subunit	RNAP_II_RPB1_N	c4r4y0	RNA polymerase II subunit B12.5	c4r3z5	NA	5x50
DNA-directed RNA polymerase subunit	RNAP_II_RPB1_N	c4r4y0	RNA polymerase II subunit B12.5	c4r3z5	NA	5x51
DNA-directed RNA polymerase subunit	RNAP_II_RPB1_N	c4r4y0	RNA polymerase II subunit B12.5	c4r3z5	NA	5xog
DNA-directed RNA polymerase subunit	RNAP_II_RPB1_N	c4r4y0	RNA polymerase II subunit B12.5	c4r3z5	NA	5xon
DNA-directed RNA polymerase subunit	RNAP_II_RPB1_N	c4r4y0	RNA polymerase II subunit B12.5	c4r3z5	RNAP_II_RPB11	5x4z
DNA-directed RNA polymerase subunit	RNAP_II_RPB1_N	c4r4y0	RNA polymerase II subunit B12.5	c4r3z5	RNAP_II_RPB11	5x50
DNA-directed RNA polymerase subunit	RNAP_II_RPB1_N	c4r4y0	RNA polymerase II subunit B12.5	c4r3z5	RNAP_II_RPB11	5x51
DNA-directed RNA polymerase subunit	RNAP_II_RPB1_N	c4r4y0	RNA polymerase II subunit B12.5	c4r3z5	RNAP_II_RPB11	5xog
DNA-directed RNA polymerase subunit	RNAP_II_RPB1_N	c4r4y0	RNA polymerase II subunit B12.5	c4r3z5	RNAP_II_RPB11	5xon
DNA-directed RNA polymerase subunit	RNAP_II_RPB1_N	c4r4y0	RNA polymerase II subunit B32	c4r2u9	NA	5x4z
DNA-directed RNA polymerase subunit	RNAP_II_RPB1_N	c4r4y0	RNA polymerase II subunit B32	c4r2u9	NA	5x51
DNA-directed RNA polymerase subunit	RNAP_II_RPB1_N	c4r4y0	RNA polymerase II subunit B32	c4r2u9	NA	5xog
DNA-directed RNA polymerase subunit	RNAP_II_RPB1_N	c4r4y0	RNA polymerase II subunit B32	c4r2u9	NA	5xon
DNA-directed RNA polymerase subunit	RNAP_II_RPB1_N	c4r4y0	RNA polymerase II third largest subunit B44, part of central core	c4r7l2	RNAP_II_RPB3	5x4z
DNA-directed RNA polymerase subunit	RNAP_II_RPB1_N	c4r4y0	RNA polymerase II third largest subunit B44, part of central core	c4r7l2	RNAP_II_RPB3	5x50
DNA-directed RNA polymerase subunit	RNAP_II_RPB1_N	c4r4y0	RNA polymerase II third largest subunit B44, part of central core	c4r7l2	RNAP_II_RPB3	5x51
DNA-directed RNA polymerase subunit	RNAP_II_RPB1_N	c4r4y0	RNA polymerase II third largest subunit B44, part of central core	c4r7l2	RNAP_II_RPB3	5xog
